Student_ID,Attendance_%,CGPA_10,Backlogs,Credits_Earned,Credits_Attempted,Assignment_Submission_%,Average_Exam_Marks_%,Semester,Fee_Status,Scholarship,Previous_Academic_%,Course,Dropout
S0001,84,7.91,0,12,24,95.1,61.1,4,Paid,No,84.2,CSE,0
S0002,76.3,9.09,0,18,24,88.2,93.5,2,Paid,Yes,68.1,EEE,0
S0003,85.8,5.12,2,24,24,92.1,67.8,5,Paid,No,83.5,EEE,0
S0004,96.3,7.48,1,21,24,55.5,85.2,1,Paid,No,88.3,ECE,0
S0005,75.2,6.02,3,16,24,99.2,83.6,2,Paid,Yes,68.7,CSE,0
S0006,75.2,6.22,1,16,24,64.6,69.8,6,Paid,No,50.9,MECH,0
S0007,97,6.09,1,12,24,78.9,74.5,2,Paid,Yes,65.4,MECH,0
S0008,87.2,5.76,3,20,24,73.8,72.7,1,Paid,Yes,59.3,CIVIL,1
S0009,72.4,6.86,2,18,24,62.8,48,6,Paid,No,42.3,EEE,1
S0010,84.5,5.8,0,19,24,54.8,64.8,2,Paid,Yes,61.5,EEE,0
S0011,72.4,7.12,0,20,24,49.8,79,6,Pending,No,67.1,CSE,0
S0012,72.4,6.74,0,17,24,77.8,85.4,1,Paid,No,59.6,MECH,0
S0013,80.9,6.51,0,23,24,53.1,53.9,1,Paid,Yes,58,CIVIL,0
S0014,55,5.71,1,16,24,59,71.4,6,Paid,No,51.4,CSE,1
S0015,57.3,6.11,1,17,24,72.7,66.1,3,Paid,Yes,70.5,EEE,0
S0016,71.3,7.71,0,22,24,36.4,62.3,4,Paid,No,92.3,MECH,0
S0017,65.8,7.4,2,13,24,87.7,69,2,Paid,Yes,84.6,CIVIL,0
S0018,81.8,5.63,2,15,24,39.9,67.1,2,Paid,Yes,76.5,ECE,1
S0019,67.1,6.92,3,14,24,74.8,71.6,3,Paid,No,76.8,MECH,0
S0020,61.1,7.7,1,24,24,76.2,84.2,3,Paid,No,66.3,CIVIL,0
S0021,95.6,4.8,0,18,24,84.1,75,3,Paid,No,44.5,CSE,0
S0022,75.3,7.45,0,20,24,75.4,68.3,5,Paid,No,63.2,ECE,0
